"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2025","403.30","406.95","408.50","401.00","6.31M","-0.63%"
"10/23/2025","405.85","407.50","408.90","403.60","14.13M","1.00%"
"10/21/2025","401.85","402.80","403.40","400.05","3.45M","0.53%"
"10/20/2025","399.75","400.05","403.40","396.60","10.47M","0.79%"
"10/17/2025","396.60","396.80","402.50","392.25","16.56M","-0.05%"
"10/16/2025","396.80","395.45","400.45","389.55","21.98M","1.52%"
"10/15/2025","390.85","403.00","403.00","388.00","26.95M","-1.16%"
"10/14/2025","395.45","400.00","421.55","376.30","52.27M","-1.14%"
"10/13/2025","400.00","411.05","411.29","398.40","33.29M","-2.68%"
"10/10/2025","411.02","414.56","416.86","403.72","16.07M","-0.32%"
"10/09/2025","412.32","414.44","414.68","404.87","16.20M","-0.07%"
"10/08/2025","412.59","420.67","424.97","411.05","16.57M","-2.36%"
"10/07/2025","422.58","431.42","431.57","422.04","13.10M","-2.05%"
"10/06/2025","431.42","434.66","434.96","426.15","10.33M","-0.48%"
"10/03/2025","433.51","434.96","447.79","432.84","27.79M","-0.31%"
"10/01/2025","434.87","412.26","435.87","411.17","30.16M","5.61%"
"09/30/2025","411.77","406.81","413.77","403.57","15.00M","1.14%"
"09/29/2025","407.11","414.08","414.68","405.60","13.01M","-0.06%"
"09/26/2025","407.36","403.18","411.87","400.97","15.78M","1.29%"
"09/25/2025","402.15","405.54","408.63","396.70","24.69M","-2.73%"
"09/24/2025","413.44","424.06","425.76","412.44","13.25M","-2.62%"
"09/23/2025","424.58","424.85","428.48","421.94","11.90M","0.73%"
"09/22/2025","421.49","429.21","431.03","420.64","9.69M","-1.58%"
"09/19/2025","428.27","431.93","431.93","426.76","12.13M","-0.53%"
"09/18/2025","430.54","437.08","439.05","428.36","12.20M","-1.11%"
"09/17/2025","435.35","432.84","437.65","432.42","11.87M","0.83%"
"09/16/2025","431.78","432.84","435.69","426.79","9.77M","0.05%"
"09/15/2025","431.57","433.02","437.05","430.75","6.01M","-0.33%"
"09/12/2025","432.99","428.60","435.20","428.21","8.25M","1.33%"
"09/11/2025","427.30","429.94","431.03","426.52","5.53M","-0.46%"
"09/10/2025","429.27","434.45","435.87","425.40","10.36M","-0.90%"
"09/09/2025","433.17","436.56","437.23","431.93","9.41M","-0.55%"
"09/08/2025","435.57","420.73","437.08","420.16","20.53M","4.02%"
"09/05/2025","418.74","418.25","422.16","413.53","6.69M","0.61%"
"09/04/2025","416.19","427.33","427.61","415.10","13.44M","-0.66%"
"09/03/2025","418.95","416.50","419.80","414.68","6.09M","1.12%"
"09/02/2025","414.32","417.80","420.52","412.65","7.85M","-0.83%"
"09/01/2025","417.80","406.39","418.62","405.93","7.64M","3.16%"
"08/29/2025","404.99","408.90","412.35","404.39","8.20M","-0.95%"
"08/28/2025","408.90","411.59","412.20","404.27","9.47M","-0.91%"
"08/26/2025","412.65","415.77","415.86","410.62","7.50M","-0.75%"
"08/25/2025","415.77","413.92","417.04","411.84","6.43M","0.96%"
"08/22/2025","411.84","415.23","418.62","410.81","6.43M","-0.74%"
"08/21/2025","414.92","420.13","420.70","414.68","8.43M","-0.61%"
"08/20/2025","417.47","423.91","424.25","417.10","10.05M","-1.52%"
"08/19/2025","423.91","409.69","425.79","407.48","19.44M","3.59%"
"08/18/2025","409.23","409.84","414.68","407.36","14.23M","1.72%"
"08/14/2025","402.33","403.18","403.51","398.15","6.25M","0.13%"
"08/13/2025","401.82","397.85","403.78","397.52","7.56M","1.48%"
"08/12/2025","395.97","394.16","400.12","393.98","11.21M","0.05%"
"08/11/2025","395.76","385.14","396.52","379.63","17.28M","3.16%"
"08/08/2025","383.62","392.25","395.28","381.38","10.14M","-1.98%"
"08/07/2025","391.37","393.49","394.52","384.71","13.61M","-0.97%"
"08/06/2025","395.22","396.52","398.34","393.73","6.41M","-0.27%"
"08/05/2025","396.28","397.09","398.88","393.83","6.71M","0.15%"
"08/04/2025","395.67","393.52","397.61","391.07","8.03M","0.73%"
"08/01/2025","392.80","404.36","404.36","391.68","12.55M","-2.57%"
"07/31/2025","403.15","399.46","407.66","394.92","18.72M","-0.37%"
"07/30/2025","404.66","417.71","417.71","402.72","18.92M","-3.45%"
"07/29/2025","419.13","412.80","420.13","412.02","6.24M","1.38%"
"07/28/2025","413.41","418.13","424.06","412.50","7.79M","-0.65%"
"07/25/2025","416.13","424.37","425.24","414.50","7.27M","-1.87%"
"07/24/2025","424.06","419.34","427.70","419.10","15.20M","1.51%"
"07/23/2025","417.77","409.66","419.58","409.38","14.46M","2.48%"
"07/22/2025","407.66","416.50","417.01","407.02","7.75M","-2.04%"
"07/21/2025","416.16","411.96","416.80","406.36","6.73M","1.06%"
"07/18/2025","411.80","413.59","415.29","410.44","5.56M","-0.21%"
"07/17/2025","412.68","411.05","415.83","410.53","6.60M","0.40%"
"07/16/2025","411.05","414.32","414.32","409.44","6.24M","-0.79%"
"07/15/2025","414.32","409.23","415.26","408.20","7.04M","1.47%"
"07/14/2025","408.32","412.26","412.26","406.81","7.75M","-1.07%"
"07/11/2025","412.74","419.49","422.79","409.87","8.28M","-1.98%"
"07/10/2025","421.10","418.92","421.79","414.68","7.73M","0.40%"
"07/09/2025","419.40","417.07","421.04","416.80","5.48M","-0.06%"
"07/08/2025","419.64","419.52","421.91","416.19","7.62M","0.63%"
"07/07/2025","417.01","417.13","418.89","413.68","5.43M","-0.03%"
"07/04/2025","417.13","418.31","419.43","415.50","4.94M","-0.20%"
"07/03/2025","417.95","420.04","421.91","416.80","9.67M","0.27%"
"07/02/2025","416.83","413.95","419.19","412.05","8.03M","0.69%"
"07/01/2025","413.95","418.37","420.04","411.90","6.87M","-0.61%"
"06/30/2025","416.50","417.04","418.86","414.68","6.96M","0.16%"
"06/27/2025","415.83","414.68","418.59","413.47","7.20M","0.61%"
"06/26/2025","413.32","409.84","413.89","408.29","10.10M","1.22%"
"06/25/2025","408.32","409.23","411.05","407.69","10.46M","0.13%"
"06/24/2025","407.81","410.44","415.59","406.81","15.36M","0.36%"
"06/23/2025","406.36","405.60","409.23","403.24","10.27M","-0.73%"
"06/20/2025","409.35","407.66","410.93","405.66","11.39M","0.58%"
"06/19/2025","406.99","405.75","409.41","403.57","10.90M","0.31%"
"06/18/2025","405.75","406.72","411.26","404.39","12.56M","-0.67%"
"06/17/2025","408.48","415.35","415.38","406.81","17.11M","-1.73%"
"06/16/2025","415.68","430.42","432.24","407.39","31.25M","-3.57%"
"06/13/2025","431.06","423.76","432.81","422.73","10.52M","-0.46%"
"06/12/2025","433.05","446.16","446.58","430.57","12.59M","-2.86%"
"06/11/2025","445.80","444.92","450.40","442.01","12.63M","0.57%"
"06/10/2025","443.28","436.47","444.80","433.05","19.15M","2.01%"
"06/09/2025","434.54","432.84","439.50","431.69","9.90M","0.96%"
"06/06/2025","430.42","429.81","433.39","424.49","11.98M","0.12%"
"06/05/2025","429.91","431.51","432.51","426.18","10.20M","0.14%"
"06/04/2025","429.30","424.85","433.11","422.79","11.29M","0.75%"
"06/03/2025","426.09","432.84","434.87","425.15","9.16M","-1.09%"
"06/02/2025","430.78","434.05","435.26","428.24","9.71M","-1.10%"
"05/30/2025","435.57","438.56","441.04","431.33","14.53M","-0.68%"
"05/29/2025","438.56","438.59","441.14","435.87","8.84M","0.91%"
"05/28/2025","434.63","435.87","437.08","433.57","7.57M","0.21%"
"05/27/2025","433.72","441.32","441.53","432.96","12.22M","-1.72%"
"05/26/2025","441.32","437.08","446.77","436.60","13.02M","1.50%"
"05/23/2025","434.81","435.11","436.96","432.84","7.92M","0.11%"
"05/22/2025","434.32","438.90","438.90","430.21","10.05M","-1.29%"
"05/21/2025","439.99","435.26","441.62","434.66","9.00M","1.10%"
"05/20/2025","435.20","441.92","446.61","434.05","14.47M","-1.45%"
"05/19/2025","441.62","443.13","446.83","440.71","10.46M","-0.16%"
"05/16/2025","442.35","441.92","449.19","439.23","20.63M","0.36%"
"05/15/2025","440.77","423.00","441.80","421.43","28.63M","4.17%"
"05/14/2025","423.13","417.71","428.60","415.29","31.51M","-1.24%"
"05/13/2025","428.42","436.35","439.50","425.73","16.13M","-1.82%"
"05/12/2025","436.35","440.71","443.13","430.54","20.13M","1.74%"
"05/09/2025","428.91","404.09","430.42","403.18","40.18M","3.76%"
"05/08/2025","413.38","423.76","426.49","409.96","29.32M","0.37%"
"05/07/2025","411.84","388.65","413.17","388.13","30.39M","4.95%"
"05/06/2025","392.40","400.48","401.48","390.77","12.72M","-2.02%"
"05/05/2025","400.48","401.33","403.57","397.03","8.87M","1.46%"
"05/02/2025","394.70","388.04","400.36","384.74","13.14M","1.20%"
"04/30/2025","390.01","403.78","403.78","388.10","19.49M","-3.21%"
"04/29/2025","402.94","406.48","413.41","400.51","13.75M","-0.38%"
"04/28/2025","404.48","396.10","405.36","395.04","10.24M","1.97%"
"04/25/2025","396.67","404.60","407.42","394.40","13.21M","-1.96%"
"04/24/2025","404.60","399.61","406.21","399.61","15.17M","1.28%"
"04/23/2025","399.49","384.99","400.45","383.41","23.39M","4.60%"
"04/22/2025","381.90","381.54","383.78","379.08","10.29M","0.13%"
"04/21/2025","381.42","378.12","384.87","375.45","12.79M","1.37%"
"04/17/2025","376.27","372.94","379.57","368.22","14.34M","0.89%"
"04/16/2025","372.94","378.36","378.36","371.46","12.32M","-0.99%"
"04/15/2025","376.66","371.70","380.36","370.88","19.72M","4.56%"
"04/11/2025","360.23","369.28","370.97","357.78","21.06M","2.08%"
"04/09/2025","352.87","355.96","360.14","351.75","17.48M","-1.01%"
"04/08/2025","356.47","357.90","367.22","353.66","20.99M","1.57%"
"04/07/2025","350.96","339.31","352.33","324.33","49.46M","-5.56%"
"04/04/2025","371.61","393.49","393.49","369.28","26.62M","-6.13%"
"04/03/2025","395.88","399.55","404.99","395.01","13.47M","-2.67%"
"04/02/2025","406.75","408.60","408.84","400.82","8.03M","0.01%"
"04/01/2025","406.72","405.93","412.77","403.03","9.59M","-0.39%"
"03/28/2025","408.29","406.72","414.65","405.18","16.01M","0.88%"
"03/27/2025","404.72","404.39","409.60","400.21","34.24M","-5.61%"
"03/26/2025","428.76","430.00","434.57","428.00","9.36M","-0.29%"
"03/25/2025","430.00","435.26","437.71","427.61","13.62M","-0.45%"
"03/24/2025","431.93","429.81","434.36","425.00","11.67M","1.50%"
"03/21/2025","425.55","419.52","426.79","416.83","14.82M","1.87%"
"03/20/2025","417.74","414.68","419.34","411.05","9.71M","1.14%"
"03/19/2025","413.02","414.92","415.13","410.78","9.34M","0.32%"
"03/18/2025","411.68","402.57","412.68","401.91","11.24M","2.87%"
"03/17/2025","400.18","402.60","403.45","398.00","9.17M","0.85%"
"03/13/2025","396.82","405.99","406.72","393.25","14.00M","-1.92%"
"03/12/2025","404.57","396.22","406.75","394.85","18.73M","3.12%"
"03/11/2025","392.31","387.44","394.19","386.50","9.53M","-0.02%"
"03/10/2025","392.37","392.46","396.07","389.47","10.31M","-0.02%"
"03/07/2025","392.46","387.44","394.40","384.41","10.12M","1.35%"
"03/06/2025","387.23","395.46","397.09","384.78","16.99M","-0.18%"
"03/05/2025","387.92","374.73","388.41","374.48","12.37M","3.49%"
"03/04/2025","374.85","371.37","380.87","371.09","11.88M","-0.31%"
"03/03/2025","376.03","375.72","379.48","367.04","18.36M","0.08%"
"02/28/2025","375.72","390.47","390.47","374.39","20.48M","-4.30%"
"02/27/2025","392.61","400.76","402.57","390.86","12.28M","-1.97%"
"02/25/2025","400.51","404.24","407.11","399.55","10.25M","-1.00%"
"02/24/2025","404.54","405.60","409.60","403.18","8.86M","-0.74%"
"02/21/2025","407.54","415.29","417.71","406.27","14.58M","-2.41%"
"02/20/2025","417.59","411.65","419.43","408.63","8.67M","1.29%"
"02/19/2025","412.26","412.71","418.28","408.66","9.99M","-0.21%"
"02/18/2025","413.11","415.65","416.47","406.90","7.81M","-0.61%"
"02/17/2025","415.65","410.44","418.13","403.81","10.31M","0.87%"
"02/14/2025","412.05","415.26","418.28","405.09","9.97M","-0.47%"
"02/13/2025","413.98","414.29","419.61","411.26","8.49M","-0.07%"
"02/12/2025","414.29","411.65","416.22","403.81","12.31M","0.97%"
"02/11/2025","410.29","421.34","421.94","408.69","11.94M","-2.62%"
"02/10/2025","421.34","429.66","429.75","419.55","10.98M","-1.52%"
"02/07/2025","427.85","430.42","433.42","425.64","12.26M","-0.41%"
"02/06/2025","429.60","437.68","437.93","428.69","10.02M","-1.03%"
"02/05/2025","434.08","430.42","439.17","430.24","12.91M","0.91%"
"02/04/2025","430.15","421.52","431.84","419.98","16.79M","3.36%"
"02/03/2025","416.16","423.76","423.76","415.29","17.81M","-2.70%"
"02/01/2025","427.73","435.57","438.74","424.31","14.09M","-1.33%"
"01/31/2025","433.51","427.39","434.05","421.61","19.16M","2.76%"
"01/30/2025","421.85","429.21","430.24","413.59","59.39M","-7.40%"
"01/29/2025","455.54","442.83","457.06","439.83","12.46M","3.33%"
"01/28/2025","440.86","433.75","448.49","428.30","16.10M","2.13%"
"01/27/2025","431.66","443.71","443.71","429.39","14.12M","-2.87%"
"01/24/2025","444.40","454.06","456.54","443.25","9.51M","-2.45%"
"01/23/2025","455.54","449.64","459.90","447.85","7.92M","1.31%"
"01/22/2025","449.64","462.60","463.38","442.53","12.42M","-2.37%"
"01/21/2025","460.54","469.16","476.22","459.11","11.66M","-1.76%"
"01/20/2025","468.77","472.19","474.01","464.32","9.96M","-0.69%"
"01/17/2025","472.04","468.50","475.52","467.50","7.01M","0.70%"
"01/16/2025","468.77","466.08","472.80","464.53","8.68M","1.41%"
"01/15/2025","462.26","466.74","475.22","457.69","10.50M","-0.90%"
"01/14/2025","466.44","454.94","471.59","454.94","11.38M","2.60%"
"01/13/2025","454.64","465.53","468.29","453.30","12.23M","-3.05%"
"01/10/2025","468.95","472.22","477.00","464.20","11.14M","-0.70%"
"01/09/2025","472.25","484.30","490.35","465.80","17.95M","-1.87%"
"01/08/2025","481.24","479.82","482.48","473.19","11.86M","0.21%"
"01/07/2025","480.21","469.77","482.45","467.65","15.55M","2.19%"
"01/06/2025","469.92","482.91","482.91","463.29","16.95M","-1.79%"
"01/03/2025","478.49","464.93","484.66","460.96","24.77M","3.31%"
"01/02/2025","463.14","459.66","464.53","453.64","15.29M","2.11%"
"01/01/2025","453.58","448.25","454.70","445.55","7.79M","1.23%"
"12/31/2024","448.07","444.13","450.03","443.59","7.09M","0.89%"
"12/30/2024","444.13","456.39","457.00","442.35","17.44M","-2.25%"
"12/27/2024","454.33","453.42","464.23","451.43","15.84M","1.31%"
"12/26/2024","448.46","445.62","452.70","445.28","9.34M","0.64%"
"12/24/2024","445.62","437.99","451.18","437.38","12.55M","1.92%"
"12/23/2024","437.20","444.16","444.59","434.48","9.65M","-0.26%"
"12/20/2024","438.32","450.58","453.76","436.78","17.96M","-2.69%"
"12/19/2024","450.43","450.67","457.54","448.82","17.12M","-1.54%"
"12/18/2024","457.48","468.56","468.71","456.45","19.09M","-3.08%"
"12/17/2024","472.04","475.52","482.09","470.98","10.27M","-0.64%"
"12/16/2024","475.10","479.09","480.64","474.01","10.02M","-0.70%"
"12/13/2024","478.43","477.64","479.76","469.16","14.10M","0.50%"
"12/12/2024","476.04","483.81","485.51","475.52","10.60M","-1.60%"
"12/11/2024","483.75","486.05","488.51","483.21","7.76M","-0.10%"
"12/10/2024","484.24","487.20","490.62","482.75","13.11M","0.14%"
"12/09/2024","483.54","494.47","496.62","482.48","15.57M","-2.21%"
"12/06/2024","494.47","480.06","495.71","475.40","19.72M","3.06%"
"12/05/2024","479.79","480.06","482.78","472.80","12.17M","0.56%"
"12/04/2024","477.09","487.33","487.93","474.64","12.39M","-1.64%"
"12/03/2024","485.06","481.27","487.93","478.24","9.87M","1.42%"
"12/02/2024","478.27","476.61","482.33","475.22","8.43M","0.46%"
"11/29/2024","476.10","471.89","477.88","470.41","10.36M","0.90%"
"11/28/2024","471.86","474.01","479.79","470.98","10.94M","-0.57%"
"11/27/2024","474.58","475.25","479.39","471.65","10.01M","0.12%"
"11/26/2024","474.01","482.57","485.39","472.28","10.31M","-1.71%"
"11/25/2024","482.24","489.17","490.47","480.45","15.19M","0.71%"
"11/22/2024","478.85","469.16","480.67","469.16","14.54M","2.22%"
"11/21/2024","468.47","475.19","475.79","463.87","14.19M","-1.19%"
"11/19/2024","474.13","467.29","484.24","467.29","14.01M","1.46%"
"11/18/2024","467.29","470.98","473.25","459.60","17.05M","-0.31%"
"11/14/2024","468.74","476.19","479.46","467.35","11.74M","-1.52%"
"11/13/2024","475.97","476.43","479.85","469.50","14.67M","0.18%"
"11/12/2024","475.13","487.93","492.23","474.04","16.53M","-2.47%"
"11/11/2024","487.14","484.90","503.34","479.46","27.59M","-0.09%"
"11/08/2024","487.60","497.59","497.62","484.96","16.07M","-1.74%"
"11/07/2024","496.25","509.12","510.18","494.77","13.24M","-2.38%"
"11/06/2024","508.33","510.87","510.87","500.04","10.58M","0.48%"
"11/05/2024","505.88","497.31","510.69","496.65","10.22M","1.40%"
"11/04/2024","498.89","508.51","511.21","493.08","15.51M","-2.29%"
"11/01/2024","510.60","513.33","513.33","508.51","2.90M","1.13%"
"10/31/2024","504.91","510.84","510.84","503.58","11.90M","-0.73%"
"10/30/2024","508.63","512.15","516.75","507.33","12.93M","-0.30%"
"10/29/2024","510.18","532.88","534.24","499.86","26.82M","-4.06%"
"10/28/2024","531.79","525.37","536.81","520.74","7.11M","1.64%"
"10/25/2024","523.22","535.09","536.21","518.99","10.87M","-1.78%"